Virginia Vultures,VV
S,Demario Minter,29,2009,82,76,90,72,89,90,1,5
S,Shamarko Thomas,25,2013,81,55,85,76,93,90,1,5
Cb,Doran Grant,23,2016,82,55,92,83,93,64,1,5
Cb,Ross Ventrone,29,2007,61,66,88,65,89,65,1,5
Dl,Antonio Jemison,26,2013,85,75,88,83,84,77,1,5
Dl,Tyrone Saunders,23,2015,87,72,84,91,82,82,1,5
Dl,Houston Bates,27,2013,84,83,88,90,89,88,1,5
Lb,Brandon Wilkinson,26,2013,71,72,81,85,77,72,1,5
Lb,Saleed Rasheed,29,2007,91,66,80,74,88,66,1,5
End Players
Syracuse Rhinos,SR
Qb,Ryan Nassib,26,2011,70,65,87,90,75,63,1,5
Qb,Rakeem Cato,26,2014,91,65,87,93,75,69,1,5
Rb,Mike Hart,29,2009,87,52,88,65,87,79,1,5
Rb,Paris Cotton,23,2015,78,55,80,84,90,65,1,5
Wr,Marcus Vick,29,2009,83,79,84,88,90,65,1,5
Wr,Daniel Braverman,25,2015,81,67,80,83,89,70,1,5
Wr,Alec Lemon,27,2012,74,85,97,88,86,77,1,5
Ol,Larry Westphal,27,2012,83,62,85,86,84,78,1,5
Ol,Cyril Richardson,25,2014,78,55,92,89,81,69,1,5
Ol,Josh Bourke,30,2006,88,51,78,85,83,72,1,5
Ol,Henry Orelus,30,2007,82,86,80,87,82,80,1,5
Ol,Ryan Groy,25,2015,62,58,97,88,75,79,1,5
K,Riley Dixon,25,2013,25,2015,62,68,93,88,88,65,1,5
K,Brad Craddick,26,2013,56,80,83,97,93,78,0.5,5
S,Jonathan Meeks,26,2013,77,49,93,74,85,76,1,5
S,Colt Anderson,30 2007,58,64,85,71,89,68,1,5
Cb,Mario Butler,27,2011,63,64,95,74,89,40,1,5
Cb,Stephon Gilmore,25,2014,90,78,94,99,94,68,1,5
Dl,Max Valles,24,2016,74,48,93,65,80,45,1,5
Dl,Corbin Bryant,28,2009,61,68,88,86,75,66,1,5
Dl,Jerry Hughes,27,2013,83,80,91,66,71,68,1,5
Lb,Marcus Whitfield,25,2013,62,60,89,79,60,71,1,5
Lb,Shaq Lawson 25,2014,95,65,85,90,88,75,1,5
End Players
Orlando Manatees,OR
Qb,Christian Ponder,28,2009,100,78,94,91,87,67,1,5
Qb,Logan Thomas,26,2013,83,52,88,93,72,68,1,5
Rb,James Wilder Jr,26,2013,85,5585,60,85,60,1,5
Rb,Storm Johnson,25,2015,85,65,75,69,87,81,1,5
Wr,Justin Tukes,25,2015,81,63,79,74,79,46,1,5
Wr,Justin Henderson,27,2011,79,76,85,87,85,74,1,5
Wr,Glenn Coleman,23,2015,93,61,78,87,91,63,1,5
Ol,Shelley Smith,29,2010,65,74,88,80,80,74,1,5
Ol,Tony steen,26,2014,64,50,86,80,74,79,1,5
Ol,Vinston Painter,26,2013,78,56,84,86,76,77,1,5
Ol,Dallas Thomas,26,2013,81,72,90,83,75,72,1,5
Ol,Sam Young,28,2010,69,74,93,83,77,76,1,5
K,Jack Griffin,25,2014,63,65,85,80,80,70,0.5,5
S,Walt Aikens,25,2014,77,48,93,84,89,69,1,5
S,Michael Thomas,27,2012,61,54,90,73,89,67,1,5
Cb,Tyler Patmon,25,2014,62,62,94,77,87,47,1,5
Cb,Bobby McCain,24,2015,78,41,84,84,89,40,1,5
Dl,Charles Tuaau,24,2015,64,46,90,84,89,40,1,5
Dl,Jason Jones,29,2008,81,75,92,85,85,75,1,5
Dl,Deandre Coleman,25,2014,63,53,94,88,72,77,1,5
Lb,Chris McCain,24,2016,62,67,93,66,67,68,1,5
Lb,Zach Vigil,25,2015,63,54,91,76,54,56,1,5
End Players
Hartford Heroes,HH
Qb,Blake Frohnapfel,24,2016,87,57,95,90,80,47,1,5
Qb,Dan Orlovsky,33,2005,58,99,90,104,107,20,1,5
Rb,James Develin,27,2010,61,79,92,84,68,38,1,5
Rb,Andre Williams,26,2013,60,70,86,83,87,76,1,5
Wr,Jamison Crowder,26,2014,71,81,90,74,86,70,1,5
Wr,Geremy Davis,25,2014,86,67,84,79,92,71,1,5
Wr,Chris Harper,25,2013,64,49,95,74,86,67,1,5
Ol,Jesse Franklin,28,2012,82,88,78,92,84,93,1,5
Ol,Paul Hancock,23,2016,77,65,93,85,84,76,1,5
Ol,Johnny Adams,25,2014,82,78,78,81,86,81,1,5
Ol,Quincy Hamilton,24,2013,61,74,88,87,77,92,1,5
Ol,Tiny Kennedy,26,2013,61,65,90,83,82,75,1,5
K,Kevin Kelly,28,2006,74,87,88,104,105,62,1,5
S,Brock Vereen,25,2014,78,66,92,78,93,78,1,5
S,Cedric Thompson,24,2015,79,39,90,78,90,75,1,5
Cb,Channing Stribling,24,2016,62,70,90,94,87,60,1,5
Cb,Darryl Roberts,25,2015,68,42,79,69,95,63,1,5
Dl,Terrance Knighton,29,2009,82,83,94,93,81,93,1,5
Dl,Kelcy Quarles,24,2014,63,53,91,84,78,73,1,5
Dl,Harold Landry,22,2016,97,83,86,89,84,78,1,5
Lb,Rufus Johnson,25,2013,73,58,86,76,83,55,1,5
Lb,Josh McNary,27,2012,60,71,87,75,81,67,1,5
End Players
New Mexico Missiles,NM
Qb,Andrew McDonald,26,2013,84,68,92,95,77,71,1,5
Qb,Nick Montana,26,2014,83,48,79,91,77,58,1,5
Rb,Kasey Carrier,25,2015,77,75,92,84,86,57,1,5
Rb,Tommy Bohannon,25,2014,72,66,88,76,75,48,1,5
Wr,Zach Sudfeld,27,2011,62,64,80,75,78,45,1,5
Wr,Titus Davis,23,2015,64,58,84,78,89,64,1,5
Wr,Tanner Gentry,22,2016,72,73,90,69,81,35,1,5
Ol,Wesley Johnson,25,2013,25,2013,78,65,94,83,79,74,1,5
Ol,Dakota Dozier,25,2014,78,55,90,83,82,75,1,5
Ol,Jarvis Harrison,24,2015,80,44,84,88,83,81,1,5
Ol,Armante Fergusson,25,2015,89,65,88,87,90,79,1,5
Ol,Geronimo Hastings,26,2015,72,81,93,88,79,76,1,5
K,Brett Maher,26,2013,65,76,82,95,88,78,1,5
S,Rontez Miles,26,2013,64,59,92,71,89,86,1,5
S,Dion Bailey,24,2014,63,62,82,65,86,86,1,5
Cb,Kendall James,24,2014,74,54,90,78,92,43,1,5
Cb,Marcus Williams,25,2014,64,67,93,83,83,89,1,5
Dl,Michael Catapano,25,2014,72,51,94,82,69,73,1,5
Dl,Shelby Harris,24,2014,69,45,90,84,77,76,1,5
Dl,Deon Simon,25,2015,75,48,75,93,71,85,1,5
Lb,Trevor Reilly,28,2014,68,56,85,76,67,70,1,5
Lb,Josh Martin,24,2013,62,60,90,76,77,61,1,5
End Players
San Antonio Rogues,SA
Qb,Johnny Manziel,26,2013,90,70,90,85,76,46,1,5
Qb,Seth Doege,27,2010,85,58,94,91,69,20,1,5
Rb,Kenny Hilliard,24,2015,70,47,76,87,82,54,1,5
Rb,Jay Prosch,23,2016,72,56,95,75,80,46,1,5
Wr,Patrick Edwards,27,2013,86,83,94,99,85,65,1,5
Wr,Ryan Swope,22,2016,88,45,87,86,91,59,1,5
Wr,Josh Lenz,25,2013,64,56,87,74,91,77,1,5
Ol,Andy McDonald,27,2012,63,65,96,89,78,72,1,5
Ol,Dalton Freeman,26,2013,63,67,96,89,78,72,1,5
Ol,Jeff Adams,26,2012,63,69,94,75,72,82,1,5
Ol,Karim Barton,24,2014,64,47,92,84,82,72,1,5
Ol,David Quessenberry,25,2013,72,63,93,80,83,75,1,5
K,Ross Evans,30,2005,57,78,92,86,91,60,1,5
S,Kurtis Drummond,24,2015,65,41,92,78,89,60,1,5
S,Lonnie Ballentine,23,2015,68,44,89,72,93,90,1,5
Cb,Robert Nelson,26,2014,63,46,90,74,89,54,1,5
Cb,Terrance Mitchell,24,2014,68,55,94,81,92,46,1,5
Dl,Gerald Rivers,25,2015,63,56,88,71,65,68,1,5
Dl,Jeoffrey Pagan,23,2014,72,52,80,87,72,85,1,5
Dl,Christian Covington,22,2016,75,50,76,77,82,76,1,5
Lb,Max Bullough,24,2014,64,55,92,76,79,76,1,5
Lb,Reshard Cliett,24,2015,75,40,86,78,64,50,1,5
End Players
Little Rock Ramblers,LR
Qb,Ryan Mallett,28,2011,89,68,95,84,75,57,1,5
Qb,Ryan Alpin,25,2014,64,42,85,90,73,70,1,5
Rb,Trey Williams,23,2015,67,46,81,37,90,84,1,5
Rb,Tyler Varga,23,2015,66,55,90,78,84,45,1,5
Wr,Cobi Hamilton,25,2013,83,51,90,72,92,65,1,5
Wr,Jarius Wright,28,2011,82,66,91,82,92,63,1,5
Wr,Brian Tyms,27,2012,61,68,92,79,88,66,1,5
Ol,Jeremy Vujnovich,25,2014,64,42,88,90,72,78,1,5
Ol,Lance Louis,31,2009,65,75,90,86,76,70,1,5
Ol,Kevin Graf,25,2014,64,52,92,85,80,72,1,5
Ol,Mitchell Van Dyk,25,2014,69,54,92,75,83,69,1,5
Ol,Hugh Thornton,24,2013,81,73,85,91,76,77,1,5
K,Tyler Bitancurt,27,2011,44,94,88,91,60,1,5
S,Winston Guy,26,2012,71,65,88,71,88,83,1,5
S,Dezman Southard,24,2015,88,65,92,75,m93,79,1,5
Cb,Jalil Brown,28,2011,79,56,90,75,93,63,1,5
Cb,Tevin Mitchell,23,2015,73,49,77,79,91,35,1,5
Dl,Ricky Lumpkin,27,2012,64,77,84,88,74,78,1,5
Dl,Joe Vellano,27,2011,61,69,93,85,79,82,1,5
Dl,Billy Winn,27,2012,65,77,87,78,56,80,1,5
Lb,Amarlo Herrera,24,2015,73,53,92,79,74,72,1,5
Lb,Sio Moore,26,2014,86,73,89,82,84,75,1,5
End Players
North Florida Steer,NF
Qb,Tim Tebow,28,2010,102,67,96,91,74,65,1,5
Qb,Everett Golson,23,2016,86,73,90,89,70,49,1,5
Rb,Kelvin Taylor,22,2015,88,66,84,79,88,78,1,5
Rb,Joe Banyard,27,2012,61,53,92,66,88,76,1,5
Wr,Justin Blackmon,26,2012,98,45,93,86,87,70,1,5
Wr,Jemalle Cornelius,30,2008,60,71,92,79,81,74,1,5
Wr,Dallas Baker,29,2009,84,66,77,72,83,69,1,5
Ol,Jeff Linkenbach,29,2010,58,76,92,85,73,81,1,5
Ol,Josh Wells,25,2014,62,61,90,85,86,78,1,5
Ol,Patrick Omameh,26,2013,62,76,92,83,80,75,1,5
Ol,Tyler Shatley,25,2014,63,54,92,82,80,75,1,5
Ol,Kadeem Edwards,25,2014,77,54,94,86,83,77,1,5
K,Josh Scobey,32,2006,70,77,92,95,90,90,1,5
S,Jimmy Sample,23,2015,83,54,85,71,89,75,1,5
S,Craig Loston,26,2014,62,57,85,72,93,85,1,5
Cb,Joshua Shaw,25,2014,74,77,95,83,91,56,1,5
Cb,Will Hill,26,2013,82,64,76,84,87,55,1,5
Dl,Duke Lemmens,25,2014,95,53,79,87,72,73,1,5
Dl,Demarcus Walker,22,2016,99,65,88,94,85,77,1,5
Dl,Chris Smith,24,2014,77,56,93,85,82,65,1,5
Lb,Brandon Hicks,27,2011,73,67,94,75,50,72,1,5
Lb,Bjoern Werner,25,2013,91,73,92,76,82,74,1,5
End Players
Mississippi Manhandlers,MM
Qb,Bo Wallace,28,2015,98,60,93,89,88,79,1,5
Qb,KD Humphries,22,2016,76,56,88,86,76,55,1,5
Rb,Antonio Andrews,23,2014,62,49,92,88,78,45,1,5
Rb,David Cobb,23,2015,78,60,90,86,84,62,1,5
Wr,Tre McBride,23,2015,68,39,87,86,93,79,1,5
Wr,Chad Bumphis,28,2012,86,49,87,85,89,69,1,5
Wr,Michael Thomas,22,2016,78,57,89,87,94,76,1,5
Ol,Briuan Schwenke,25,2013,81,74,92,91,80,74,1,5
Ol,Josue Matias,23,2015,91,78,98,92,77,88,1,5
Ol,Jamon Meridith,30,2009,65,71,90,87,78,73,1,5
Ol,Quinton Spain,24,2014,63,55,95,85,80,70,1,5
Ol,Andy Gallik,24,2015,73,60,92,86,73,79,1,5
K,Michael Chapuseaux,29,2009,62,80,96,90,85,66,1,5
S,Marqueston Huff 24,2014,82,65,95,76,91,65,1,5
S,Daimon Stafford,25,2014,66,57,92,74,87,67,1,5
Cb,BW Webb,26,2013,81,61,90,73,93,40,1,5
Cb,Brandon Harris,26,2013,65,67,92,77,90,59,1,5
Dl,Daquan Jones,24,2014,82,64,90,85,78,86,1,5
Dl,Angelo Blackmon,23,2015,83,53,90,76,74,81,1,5
Dl,Karl Klug,28,2011,74,82,80,88,73,65,1,5
Lb,Curtis Grant,23,2015,64,56,76,77,62,51,1,5
Lb,David Bass,25,2013,66,65,95,67,70,58,1,5
End Players
Salt Lake City Mares,SLC
Qb,Chuckie Keaton,27,2012,90,65,85,94,88,50,1,5
Qb,Riley Nelson,28,2013,68,53,78,79,74,59,1,5
Rb,Kapri Bibbs,23,2014,63,50,92,84,83,62,1,5
Rb,Juwan Thompson,24,62,61,94,81,86,74,1,5
Wr,Cody Hoffman,27,2011,69,75,88,79,85,79,1,5
Wr,Devier Posey,23,2014,87,49,82,86,90,55,1,5
Wr,Benny Posey,26,2013,87,59,85,75,91,64,1,5
Ol,Grizzly Adams,27,2011,95,87,86,88,86,85,1,5
Ol,Jack Denver,26,2012,94,78,85,84,89,81,1,5
Ol,Biggy Young,25,2013,93,79,82,80,81,83,1,5
Ol,Bobby Hill,24,2015,73,77,87,88,85,86,1,5
Ol,Jamie Ferentz,27,2011,63,62,90,79,73,81,1,5
K,Coleman Petersen,24,2013,62,72,95,99,88,85,1,5
S,Brandian Ross,26,2011,60,74,93,74,91,51,1,5
S,Josh Bush,27,2012,65,66,88,78,90,61,1,5
Cb,Lorenzo Doss,22,2016,78,50,92,78,92,35,1,5
Cb,Tauren Nixon,25,2015,68,54,85,78,90,47,1,5
Dl,Phil Taylor,28,2011,90,76,84,92,82,86,1,5
Dl,Darius Kilgo,24,2015,74,45,88,93,6987,1,5
Dl,Antonio Smith,34,2004,65,87,96,85,87,65,1,5
Lb,Todd Davis,24,2014,62,53,94,85,63,67,1,5
Lb,Dekoda Watson,27,2011,68,69,84,76,64,67,1,5
End Players
Wichita Tribe,WT
Qb,Carson Coffman,28,2013,61,52,87,93,69,20,1,5
Qb,Josh Freeman,30,2006,87,64,85,96,85,54,1,5
Rb,Barry Sanders Jr,22,2016,86,93,92,77,79,57,1,5
Rb,Trey Millard,24,2014,68,45,84,78,84,50,1,5
Wr,Frankie Hammond,26,2013,62,64,92,72,90,84,1,5
Wr,DeAnthony Thomas,23,2015,83,66,73,81,93,92,1,5
Wr,DaRon Brown,24,2015,69,45,96,83,88,75,1,5
Ol,Reid Fragel,25,2013,69,59,90,90,80,70,1,5
Ol,Zach Fulton,24,2014,72,68,92,86,82,78,1,5
Ol,Jordan Devey,28,2010,63,72,95,81,76,76,1,5
Ol,LaurentDuverny-Tardif,25,2014,72,47,93,94,77,74,1,5
Ol,Mitch Morse,24,2015,88,62,87,92,72,78,1,5
K,Matt McCrane,24,2014,62,67,95,85,86,76,1,5
S,Danny Sorensen,26,2014,62,45,93,65,89,66,1,5
S,Stevie Brown,28,2010,65,74,92,72,91,77,1,5
Cb,Jamaal Fleming,27,2012,80,60,81,85,88,64,1,5
Cb,Deveron Carr,25 2014,63,53,91,73,90,68,1,5
Dl,Alameda Taamu,25 2014,82,67,86,92,73,85,1,5
Dl,Jimmy Staten,25,2014,79,50,89,86,71,84,1,5
Dl,David King,26,2013,68,62,92,83,75,81,1,5
Lb,Andy Mulumba,26,2013,62,62,88,72,68,63,1,5
Lb,Jonathan Massaquoi,28,2012,76,72,91,73,83,66,1,5
End Players
Las Vegas Gangsters,LV
Qb,Cody Fajardo,26,2013,61,71,92,79,72,55,1,5
Qb,Nick Sherry,26,2013,87,70,97,96,84,65,1,5
Rb,Brandon McAnderson,25,2014,71,66,78,85,92,65,1,5
Rb,Roy Helu Jr,27,2011,79,79,79,63,90,72,1,5
Wr,Davonta Boyd,23,87,82,85,87,84,78,1,5
Wr,Martin Rucker,26,2013,89,68,84,97,92,86,1,5
Wr,Nathan Palmer,27,2012,63,60,90,74,93,84,1,5
Ol,Deano Martin,26,2013,85,90,89,94,88,81,1,5
Ol,Jodi Bishop,25,2013,81,89,92,87,95,78,1,5
Ol,Franlin Sinsata,25,2013,87,96,93,86,89,95,1,5
Ol,Sammy Davidson,24,2013,88,86,86,95,76,89,1,5
Ol,Donny Ripple,24,2013,81,85,97,76,87,80,1,5
K,Giorgio Tavecchio,25,2012,64,55,90,90,85,73,1,5
S,Chris Hackettt,23,2015,64,45,93,66,89,63,1,5
S,Bryden Trawick,26,2013,61,48,92,71,83,83,1,5
Cb,Jared Tevis,24,2014,82,54,84,84,88,71,1,5
Cb,Dexter McDonald,24,2015,68,45,90,73,94,67,1,5
Dl,Denico Autry,25,2014,82,72,88,84,75,80,1,5
Dl,Damontre Moore,24,2013,82,65,90,65,89,64,1,5
Dl,Stacy McGee,25,2014,71,69,85,85,77,80,1,5
Lb,Colton Underwood,24,2014,64,64,88,78,82,63,1,5
Lb,Daren Bates,25,2013,61,64,88,79,54,45,1,5
End Players
San Diego Voltage,SD
Qb,Ryan Lindley,25,2013,80,70,85,83,72,35,1,5
Qb,Zach Maynard,25,2013,72,67,82,95,76,39,1,5
Rb,Donnel Pumphrey,22,2016,93,68,92,70,91,89,1,5
Rb,Dreamius Smith,23,2015,64,44,84,78,90,64,1,5
Wr,Isaiah Burse,24,2014,63,47,93,75,86,84,1,5
Wr,Torrence Allen,25,2014,63,62,91,81,91,66,1,5
Wr,Jevontee Herndon,24,2014,64,53,89,72,90,85,1,5
Ol,Trevor Robinson,26,2012,61,73,90,89,81,73,1,5
Ol,Chris Watt,25,2014,82,68,87,90,86,75,1,5
Ol,Matt Slauson,30,2009,67,84,85,91,89,78,1,5
Ol,Eric Edison,24,2014,68,84,82,95,94,82,1,5
Ol,Johnny Troutman,28,2010,65,75,82,92,73,72,1,5
K,Kasey Redfern,24,2014,64,64,85,88,80,70,1,5
S,Adrian Phillips,24,2014,64,52,92,74,89,64,1,5
S,Greg Ducre,24,2014,63,54,88,70,90,47,1,5
Cb,Ricky Crawford,25,2012,72,57,90,80,89,43,1,5
Cb,Cassius Vaughn,28,2010,65,72,88,76,89,35,1,5
Dl,Tenny Palepoi,25,2014,64,65,88,89,77,77,1,5
Dl,Damion Square,27,2013,62,69,87,80,81,68,1,5
Dl,Ben Gardner,25,2014,68,52,83,74,79,76,1,5
Lb,Joe Mays,30,2008,65,81,95,87,76,77,1,5
Lb,Cordarro Law,27,2012,65,62,90,71,69,55,1,5
End Players
Boise Blue Kodiak,BK
Qb,Kellen Moore,26,2011,77,72,86,84,83,44,1,5
Qb,Taylor Tharp,24,2014,73,54,93,83,81,43,1,5
Rb,DJ Harper,23,2015,83,49,88,81,92,57,1,5
Rb,Miquale Lewis,25,2014,85,50,87,86,93,58,1,5
Wr,Matt Miller,25,2014,68,67,82,72,84,70,1,5
Wr,Mike Scott,26,2013,85,82,91,93,88,66,1,5
Wr,Marc Mariani,29,2010,68,78,87,72,86,85,1,5
Ol,Martin Wallace,26,2013,63,60,90,82,80,72,1,5
Ol,Nate Chandler,27,2012,61,71,88,83,83,72,1,5
Ol,Nick Becton,26,2013,62,57,90,76,73,76,1,5
Ol,Jason Weaver,27,2013,63,61,88,88,77,74,1,5
Ol,Will Montgomery,31,2007,65,88,93,92,79,87,1,5
K,Trey Farquhar,24,2014,53,91,90,94,96,54,1,5
S,Chris Prosinski,29,2011,79,70,93,70,90,67,1,5
S,Ryan Mundy,31,2008,65,80,91,74,86,85,1,5
Cb,Alan Ball,31,2007,65,82,87,87,86,58,1,5
Cb,Bryce Callahan,24,2015,63,41,88,70,94,41,1,5
Dl,Greg Scruggs,25,2012,66,55,90,81,81,66,1,5
Dl,Will Sutton,24,2014,82,65,87,82,81,80,1,5
Dl,Ego Furgusson,24,2014,87,67,89,93,76,84,1,5
Lb,Lamin Barrow,25,2013,77,55,93,78,59,64,1,5
Lb,Sam Acho,27,2011,79,71,95,82,87,82,1,5
End Players
St Louis Leopards,STL
Qb,Chase Daniel,28,2009,97,76,84,99,85,39,1,5
Qb,Todd Reesing,25,2013,69,70,91,79,72,20,1,5
Rb,George Winn,25,2013,63,54,90,86,87,66,1,5
Rb,Zach Zenner,24,2015,63,51,88,82,86,48,1,5
Wr,Harry Peoples,25,2014,77,65,90,78,90,79,1,5
Wr,TJ Jones,23,2013,73,51,94,80,89,81,1,5
Wr,Andre Roberts,28,2010,79,77,93,78,89,85,1,5
Ol,Michael Ola,28,2014,62,70,92,84,76,79,1,5
Ol,Bud Weiszer,23,2014,95,65,85,85,94,83,1,5
Ol,Jeremy Slater,22,2016,90,77,93,87,89,87,1,5
Ol,Geoff Schwartz,29,2008,62,76,79,91,86,85,1,5
Ol,Travis Swanson,25,2014,82,73,94,87,85,73,1,5
K,Anthony Cantele,25 2013,76,80,92,96,95,72,1,5
S,Rafael Bush,29,2010,59,70,88,82,91,91,1,5
S,James Ihedigbo,32,2007,65,80,91,77,84,85,1,5
Cb,Nevin Lawson,25,2014,77,61,89,76,89,56,1,5
Cb,Crezdon Butler,29,2010,73,63,95,76,89,43,1,5
Dl,Jermelle Cudjo,29,2010,65,67,92,81,79,73,1,5
Dl,Wallace Gilberry,31,2008,56,78,90,87,65,67,1,5
Dl,Gabe Wright,24,2014,83,46,90,89,72,64,1,5
Lb,Zavier Gooden,26,2013,82,68,84,75,61,66,1,5
Lb,Jerry Franklin,28,2012,61,65,95,82,55,68,1,5
End Players
Great Britain Emperors,GB
Qb,Nick Florence,24,2013,83,95,88,95,91,90,1,5
Qb,Thomas Rees,23,2015,78,47,90,91,68,70,1,5
Rb,Venric Mark,25,2013,72,46,93,81,89,79,1,5
Rb,Jay Bailey,23,2015,73,53,88,66,82,47,1,5
Wr,Tommy Shuler,25,2014,76,74,97,79,92,88,1,5
Wr,Mike Dudek,23,2016,82,68,79,78,63,87,1,5
Wr,Aryvia Holmes,23,2016,83,55,84,75,89,77,1,5
